date,open,high,low,close,volume,logret_1,logret_5,logret_10,vol_10,vol_20,vol_z20,ema_20,ema_50,ema_200,trend_20_50,trend_px_200,rsi_14,bb_z_20,atr_14,atrp_14,dd_63,dist_252_high,fwd_ret,regime
2001-01-30,56.71655910943325,57.214884670296065,55.7452392578125,56.37870788574219,42439300,-0.003738232231203255,-0.015100568805468681,0.07407196619771454,0.02341207281489974,0.04975270519752662,1.2934007653188921,54.42615418879218,56.17042498238652,66.82994746999796,-0.031053188473138538,-0.15638557233563077,75.63228705453292,0.9427745650038497,2.6379059611538946,0.04678904607923808,-0.19638813076425599,-0.43312101910828027,-0.08029215790521613,volatile_event
2001-01-31,56.801008299190904,57.426028742333756,54.30936813354492,54.30936813354492,59322200,-0.03739482993041651,-0.042996614490835555,0.006631536671869363,0.025761792384295584,0.045771751147578164,0.924106082015268,54.41503170734005,56.0974410423058,66.6966727031494,-0.029990839220223386,-0.18572597503832533,61.39586353142951,0.2593902421041338,2.5814967908650646,0.047533176679891584,-0.22588412399839009,-0.4539279026612283,-0.059264797860829374,crisis
2001-02-01,54.520524465637244,55.415824544561914,53.71812717100072,55.02729797363281,45142600,0.013132651357662482,0.010027104972869558,-0.021449440753970626,0.02212420176297331,0.030237773862774098,-0.5170868593006174,54.47334278032038,56.05547391899392,66.57254471769048,-0.028224382527920255,-0.17342354559250783,59.369177054938966,0.46157691087016045,2.431274241765378,0.04418305697892637,-0.2156508823649994,-0.4467092317948159,-0.10272025922707635,crisis
2001-02-02,54.84994503870042,55.1540105291429,50.677495820721745,51.986663818359375,47471000,-0.05684216823929522,-0.06291544152337936,-0.07452828428341277,0.028112380714937293,0.03273679642817029,-0.2802510595417693,54.2365162125143,55.895910077496055,66.41750013285666,-0.02968721437187638,-0.21727460813235833,47.03116530367616,-0.5669551544157572,2.5624929230379356,0.0492913515664565,-0.25899152972664774,-0.4772823267777513,-0.08738071188557911,crisis
2001-02-05,51.68258124436853,52.28226719540023,50.77883312538975,51.94441604614258,36016300,-0.0008129959700003452,-0.08565557501325285,-0.0762833889752015,0.02805957533381529,0.02684953772025933,-0.8234414033914955,54.01822095857392,55.740947044241906,66.26375902301616,-0.030905934990674733,-0.2160961464908726,48.741647944891106,-0.7237584538498801,2.5275391628056902,0.048658534548939,-0.25959372180368134,-0.4777071214379577,-0.07458332541413815,crisis
2001-02-06,51.93599790827744,53.31273447736521,51.657270083597844,52.02890396118164,42417700,0.0016251848768335585,-0.08029215790521613,-0.09539272671068476,0.02652193436378854,0.026805399310264363,-0.8246779852371584,53.82876219691734,55.59537448619184,66.11265010497527,-0.031776245876593,-0.21302649525364836,43.483811143199105,-0.853809651205017,2.4270895607587657,0.046648869685388686,-0.2527670606782688,-0.4768576088298988,-0.10879360823775797,crisis
2001-02-07,51.10823734347802,51.69103042761566,49.478114695261816,51.18425369262695,61972200,-0.0163674698860297,-0.059264797860829374,-0.10226141235166493,0.02660956756762556,0.02717044152808328,-0.7877976183731225,53.576904244127576,55.42238679834941,65.9542842963632,-0.03329850374247678,-0.2239434596449814,31.09396628834064,-1.4464655157827655,2.3641967154850745,0.046189922582101355,-0.2621006216051084,-0.4853504335398685,-0.053379979654961156,crisis
2001-02-08,51.437657554145105,51.944431203924665,49.47812804941465,49.65549850463867,48269500,-0.030322810008584524,-0.10272025922707635,-0.09269315425420688,0.02557632331420857,0.0257276316193271,-0.9184782455976744,53.20343703084264,55.196231102325584,65.78149461828353,-0.03610380693907522,-0.2451448725393166,28.294857105921864,-2.040428056922806,2.3744528064821444,0.04781852721225485,-0.24019367664468771,-0.5007218248948466,-0.006656175876498131,crisis
2001-02-09,49.19939937796087,49.49501679787436,47.298993393404444,47.636844635009766,55385200,-0.04150262089779796,-0.08738071188557911,-0.1502961534089585,0.025714001593235385,0.02622403375484699,-0.8694350137275575,52.6732853740963,54.89978052652275,65.58926139581968,-0.040555629386365144,-0.2737096954403897,24.626490665454696,-2.4001804951336285,2.407031341201338,0.05052877367600325,-0.27108221912234365,-0.5210190699240778,-0.022775211442701747,crisis
2001-02-12,47.510137801590304,48.93755233740261,46.97802335605601,48.211177825927734,50540400,0.01198439050144045,-0.07458332541413815,-0.16023890042739097,0.02427838089339471,0.026196611934238844,-0.8698067805623412,52.24832275046094,54.63747894043902,65.40526808490361,-0.04372742367162519,-0.26288540300233854,21.7992988023571,-1.8796934275779882,2.3603507268505237,0.04895857834821739,-0.2622940284221428,-0.5152442406282435,-0.07435045803652954,crisis
